state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code
5,Uttarakhand,05,56,Udam Singh Nagar,067
1,Jammu And Kashmir,01,14,Udhampur,019
23,Madhya Pradesh,23,435,Ujjain,435
9,Uttar Pradesh,09,186,Unnao,156
19,West Bengal,19,311,Uttar Dinajpur,330
33,Tamil Nadu,33,595,Vellore,605
36,Telangana,00,693,Wanaparthy,000
28,Andhra Pradesh,28,523,West Godavari,546
12,Arunachal Pradesh,12,242,West Kameng,246
6,Haryana,06,76,Yamunanagar,071
27,Maharashtra,27,500,Yavatmal,510
27,Maharashtra,27,466,Ahmednagar,522
28,Andhra Pradesh,28,745,Alluri Sitharama Raju,000
9,Uttar Pradesh,09,154,Amroha,137
28,Andhra Pradesh,28,744,Anakapalli,000
12,Arunachal Pradesh,12,628,Anjaw,260
8,Rajasthan,08,776,Anupgarh,NA
9,Uttar Pradesh,09,122,Auraiya,162
9,Uttar Pradesh,09,140,Ayodhya,177
18,Assam,18,739,Bajali,000
21,Odisha,21,345,Balangir,393
9,Uttar Pradesh,09,129,Bara Banki,176
36,Telangana,00,690,Bhadradri Kothagudem,000
8,Rajasthan,08,91,Bharatpur,105
10,Bihar,10,193,Bhojpur,231
8,Rajasthan,08,93,Bikaner,101
19,West Bengal,19,307,Birbhum,334
6,Haryana,06,701,Charki Dadri,000
29,Karnataka,29,630,Chikkaballapura,582
28,Andhra Pradesh,28,503,Chittoor,554
22,Chhattisgarh,22,376,Dakshin Bastar Dantewada,416
18,Assam,18,283,Darrang,325
5,Uttarakhand,05,49,Dehradun,060
21,Odisha,21,351,Deogarh,373
18,Assam,18,284,Dhemaji,308
18,Assam,18,285,Dhubri,301
12,Arunachal Pradesh,12,230,Dibang Valley,257
8,Rajasthan,08,768,Didwana-Kuchaman,NA
13,Nagaland,13,244,Dimapur,265
33,Tamil Nadu,33,572,Dindigul,612
38,The Dadra And Nagar Haveli And Daman And Diu,NA,464,Diu,494
1,Jammu And Kashmir,01,4,Doda,016
8,Rajasthan,08,99,Dungarpur,124
12,Arunachal Pradesh,12,232,East Siang,251
32,Kerala,32,555,Ernakulam,595
9,Uttar Pradesh,09,138,Etah,201
9,Uttar Pradesh,09,141,Farrukhabad,159
6,Haryana,06,61,Fatehabad,078
9,Uttar Pradesh,09,142,Fatehpur,172
29,Karnataka,29,537,Gadag,561
8,Rajasthan,08,771,Gangapurcity,NA
11,Sikkim,11,225,Gangtok,244
9,Uttar Pradesh,09,145,Ghaziabad,140
9,Uttar Pradesh,09,147,Gonda,183
10,Bihar,10,197,Gopalganj,217
3,Punjab,03,32,Gurdaspur,035
23,Madhya Pradesh,23,407,Gwalior,421
18,Assam,18,289,Hailakandi,318
8,Rajasthan,08,101,Hanumangarh,100
9,Uttar Pradesh,09,150,Hardoi,155
20,Jharkhand,20,332,Hazaribagh,360
27,Maharashtra,27,477,Hingoli,512
36,Telangana,00,681,Jagitial,000
21,Odisha,21,356,Jajapur,382
20,Jharkhand,20,333,Jamtara,363
10,Bihar,10,198,Jamui,238
22,Chhattisgarh,22,379,Janjgir-Champa,405
10,Bihar,10,199,Jehanabad,239
19,West Bengal,19,703,Jhargram,000
10,Bihar,10,200,Kaimur (Bhabua),233
33,Tamil Nadu,33,574,Kancheepuram,604
21,Odisha,21,359,Kandhamal,390
2,Himachal Pradesh,02,18,Kangra,024
9,Uttar Pradesh,09,155,Kannauj,160
6,Haryana,06,67,Karnal,074
9,Uttar Pradesh,09,633,Kasganj,202
23,Madhya Pradesh,23,413,Katni,450
10,Bihar,10,202,Khagaria,223
2,Himachal Pradesh,02,19,Kinnaur,034
13,Nagaland,13,614,Kiphire,269
10,Bihar,10,203,Kishanganj,210
20,Jharkhand,20,334,Koderma,348
29,Karnataka,29,543,Koppal,560
8,Rajasthan,08,782,Kotputli-Behror,NA
32,Kerala,32,560,Kottayam,597
32,Kerala,32,561,Kozhikode,591
28,Andhra Pradesh,28,510,Krishna,547
1,Jammu And Kashmir,01,622,Kulgam,015
1,Jammu And Kashmir,01,8,Kupwara,001
28,Andhra Pradesh,28,511,Kurnool,552
10,Bihar,10,204,Lakhisarai,227
27,Maharashtra,27,481,Latur,524
15,Mizoram,15,265,Lunglei,286
36,Telangana,00,688,Mahabubabad,000
24,Gujarat,24,451,Mahesana,471
9,Uttar Pradesh,09,164,Mahrajganj,187
15,Mizoram,15,266,Mamit,281
2,Himachal Pradesh,02,22,Mandi,027
22,Chhattisgarh,22,760,Manendragarh-Chirmiri-Bharatpur(M C B),000
21,Odisha,21,365,Mayurbhanj,376
36,Telangana,00,700,Medchal Malkajgiri,000
23,Madhya Pradesh,23,417,Morena,419
19,West Bengal,19,319,Murshidabad,333
21,Odisha,21,366,Nabarangpur,397
19,West Bengal,19,320,Nadia,336
27,Maharashtra,27,485,Nanded,511
27,Maharashtra,27,486,Nandurbar,497
36,Telangana,00,721,Narayanpet,000
23,Madhya Pradesh,23,418,Narsimhapur,452
23,Madhya Pradesh,23,419,Neemuch,432
35,Andaman And Nicobar Islands,35,603,Nicobars,638
36,Telangana,00,680,Nirmal,000
23,Madhya Pradesh,23,722,Niwari,000
36,Telangana,00,516,Nizamabad,533
13,Nagaland,13,736,Noklak,000
30,Goa,30,551,North Goa,585
12,Arunachal Pradesh,12,723,Pakke Kessang,000
20,Jharkhand,20,337,Pakur,353
23,Madhya Pradesh,23,785,Pandhurna,NA
27,Maharashtra,27,489,Parbhani,513
19,West Bengal,19,704,Paschim Bardhaman,000
19,West Bengal,19,318,Paschim Medinipur,344
3,Punjab,03,41,Patiala,048
10,Bihar,10,212,Patna,230
36,Telangana,00,682,Peddapalli,000
1,Jammu And Kashmir,01,10,Poonch,005
9,Uttar Pradesh,09,174,Pratapgarh,173
34,Puducherry,34,600,Puducherry,635
1,Jammu And Kashmir,01,11,Pulwama,012
27,Maharashtra,27,490,Pune,521
27,Maharashtra,27,491,Raigad,520
22,Chhattisgarh,22,386,Raigarh,403
22,Chhattisgarh,22,387,Raipur,410
23,Madhya Pradesh,23,422,Rajgarh,442
1,Jammu And Kashmir,01,12,Rajouri,006
5,Uttarakhand,05,54,Rudra Prayag,058
24,Gujarat,24,458,Sabar Kantha,472
9,Uttar Pradesh,09,177,Saharanpur,132
15,Mizoram,15,727,Saitual,000
33,Tamil Nadu,33,584,Salem,608
8,Rajasthan,08,777,Salumbar,NA
9,Uttar Pradesh,09,659,Sambhal,000
36,Telangana,00,691,Sangareddy,000
10,Bihar,10,218,Saran,219
22,Chhattisgarh,22,763,Sarangarh-Bilaigarh,000
23,Madhya Pradesh,23,426,Satna,429
7,Delhi,07,671,Shahdara,000
13,Nagaland,13,765,Shamator,000
9,Uttar Pradesh,09,660,Shamli,000
2,Himachal Pradesh,02,23,Shimla,033
29,Karnataka,29,547,Shivamogga,568
12,Arunachal Pradesh,12,725,Shi Yomi,000
15,Mizoram,15,267,Siaha,288
10,Bihar,10,221,Sitamarhi,206
6,Haryana,06,75,Sonipat,076
35,Andaman And Nicobar Islands,35,602,South Andamans,640
17,Meghalaya,17,277,South Garo Hills,295
17,Meghalaya,17,658,South West Khasi Hills,000
3,Punjab,03,39,Sri Muktsar Sahib,044
1,Jammu And Kashmir,01,13,Srinagar,010
28,Andhra Pradesh,28,515,Sri Potti Sriramulu Nellore,550
28,Andhra Pradesh,28,754,Sri Sathya Sai,000
24,Gujarat,24,641,Tapi,493
33,Tamil Nadu,33,589,Thiruvallur,602
14,Manipur,14,259,Thoubal,276
33,Tamil Nadu,33,592,Tirunelveli,628
13,Nagaland,13,757,Tseminyu,000
29,Karnataka,29,548,Tumakuru,571
23,Madhya Pradesh,23,436,Umaria,431
24,Gujarat,24,461,Vadodara,486
10,Bihar,10,224,Vaishali,220
24,Gujarat,24,462,Valsad,491
33,Tamil Nadu,33,596,Viluppuram,607
28,Andhra Pradesh,28,520,Visakhapatnam,544
28,Andhra Pradesh,28,521,Vizianagaram,543
7,Delhi,07,85,West,096
24,Gujarat,24,440,Anand,482
28,Andhra Pradesh,28,502,Ananthapuramu,553
21,Odisha,21,344,Anugul,384
23,Madhya Pradesh,23,390,Anuppur,461
10,Bihar,10,188,Araria,209
33,Tamil Nadu,33,610,Ariyalur,616
23,Madhya Pradesh,23,391,Ashoknagar,459
9,Uttar Pradesh,09,124,Baghpat,139
23,Madhya Pradesh,23,392,Balaghat,457
8,Rajasthan,08,775,Balotra,NA
24,Gujarat,24,441,Banas Kantha,469
8,Rajasthan,08,88,Banswara,125
8,Rajasthan,08,89,Baran,128
21,Odisha,21,347,Bargarh,370
9,Uttar Pradesh,09,131,Basti,185
8,Rajasthan,08,774,Beawar,NA
29,Karnataka,29,526,Bengaluru Rural,583
24,Gujarat,24,442,Bharuch,488
23,Madhya Pradesh,23,396,Bhopal,444
21,Odisha,21,349,Boudh,391
27,Maharashtra,27,472,Buldhana,500
23,Madhya Pradesh,23,397,Burhanpur,467
12,Arunachal Pradesh,12,229,Changlang,253
20,Jharkhand,20,323,Chatra,347
29,Karnataka,29,532,Chikkamagaluru,570
29,Karnataka,29,533,Chitradurga,566
8,Rajasthan,08,95,Chittorgarh,126
13,Nagaland,13,758,Chumoukedima,000
8,Rajasthan,08,96,Churu,102
19,West Bengal,19,308,Cooch Behar,329
38,The Dadra And Nagar Haveli And Daman And Diu,NA,465,Dadra And Nagar Haveli,496
20,Jharkhand,20,324,Deoghar,350
24,Gujarat,24,674,Devbhumi Dwarka,000
22,Chhattisgarh,22,377,Dhamtari,412
18,Assam,18,299,Dima Hasao,315
20,Jharkhand,20,326,Dumka,362
7,Delhi,07,78,East,093
17,Meghalaya,17,740,Eastern West Khasi Hills,000
28,Andhra Pradesh,28,505,East Godavari,545
17,Meghalaya,17,274,East Khasi Hills,298
20,Jharkhand,20,327,East Singhbum,357
27,Maharashtra,27,475,Gadchiroli,508
21,Odisha,21,353,Gajapati,389
1,Jammu And Kashmir,01,626,Ganderbal,011
22,Chhattisgarh,22,734,Gaurela-Pendra-Marwahi,000
20,Jharkhand,20,329,Giridih,349
24,Gujarat,24,675,Gir Somnath,000
18,Assam,18,287,Goalpara,302
27,Maharashtra,27,476,Gondia,507
28,Andhra Pradesh,28,506,Guntur,548
18,Assam,18,709,Hojai,000
19,West Bengal,19,312,Hooghly,338
3,Punjab,03,33,Hoshiarpur,038
19,West Bengal,19,313,Howrah,341
14,Manipur,14,256,Imphal West,277
23,Madhya Pradesh,23,411,Jabalpur,451
3,Punjab,03,34,Jalandhar,037
27,Maharashtra,27,478,Jalgaon,499
1,Jammu And Kashmir,01,5,Jammu,021
8,Rajasthan,08,106,Jhunjhunu,103
36,Telangana,00,695,Jogulamba Gadwal,000
14,Manipur,14,711,Kakching,000
29,Karnataka,29,538,Kalaburagi,579
14,Manipur,14,717,Kamjong,000
18,Assam,18,291,Kamrup,321
14,Manipur,14,712,Kangpokpi,000
18,Assam,18,292,Karbi Anglong,314
32,Kerala,32,558,Kasaragod,588
36,Telangana,00,509,Khammam,541
15,Mizoram,15,728,Khawzawl,000
21,Odisha,21,362,Khordha,386
29,Karnataka,29,541,Kodagu,576
21,Odisha,21,363,Koraput,398
22,Chhattisgarh,22,383,Korba,404
22,Chhattisgarh,22,384,Korea,400
12,Arunachal Pradesh,12,677,Kra Daadi,000
33,Tamil Nadu,33,577,Krishnagiri,631
6,Haryana,06,68,Kurukshetra,072
2,Himachal Pradesh,02,21,Lahaul And Spiti,025
18,Assam,18,295,Lakhimpur,307
12,Arunachal Pradesh,12,724,Leparada,000
12,Arunachal Pradesh,12,666,Longding,000
12,Arunachal Pradesh,12,236,Lower Subansiri,255
3,Punjab,03,36,Ludhiana,041
36,Telangana,00,512,Mahabubnagar,538
22,Chhattisgarh,22,385,Mahasamund,411
34,Puducherry,34,599,Mahe,636
23,Madhya Pradesh,23,416,Mandsaur,433
29,Karnataka,29,544,Mandya,573
23,Madhya Pradesh,23,766,MAUGANJ,NA
22,Chhattisgarh,22,761,Mohla-Manpur-Ambagarh Chouki,000
18,Assam,18,297,Nagaon,305
18,Assam,18,298,Nalbari,323
33,Tamil Nadu,33,580,Namakkal,609
12,Arunachal Pradesh,12,678,Namsai,000
28,Andhra Pradesh,28,755,Nandyal,000
8,Rajasthan,08,773,Neem Ka Thana,NA
7,Delhi,07,79,New Delhi,094
21,Odisha,21,368,Nuapada,394
24,Gujarat,24,454,Panch Mahals,484
10,Bihar,10,211,Pashchim Champaran,203
24,Gujarat,24,455,Patan,470
33,Tamil Nadu,33,581,Perambalur,615
13,Nagaland,13,613,Peren,271
13,Nagaland,13,248,Phek,266
14,Manipur,14,715,Pherzawl,000
28,Andhra Pradesh,28,517,Prakasam,549
8,Rajasthan,08,629,Pratapgarh,131
33,Tamil Nadu,33,582,Pudukkottai,621
19,West Bengal,19,317,Purba Medinipur,345
10,Bihar,10,214,Purnia,211
19,West Bengal,19,321,Purulia,340
22,Chhattisgarh,22,388,Rajnandgaon,408
8,Rajasthan,08,112,Rajsamand,123
33,Tamil Nadu,33,583,Ramanathapuram,626
20,Jharkhand,20,339,Ranchi,364
27,Maharashtra,27,492,Ratnagiri,528
21,Odisha,21,370,Rayagada,396
10,Bihar,10,216,Saharsa,214
20,Jharkhand,20,340,Sahebganj,352
22,Chhattisgarh,22,762,Sakti,000
9,Uttar Pradesh,09,178,Sant Kabir Nagar,186
20,Jharkhand,20,341,Saraikela Kharsawan,369
8,Rajasthan,08,113,Sawai Madhopur,108
16,Tripura,16,653,Sepahijala,000
15,Mizoram,15,268,Serchhip,285
23,Madhya Pradesh,23,429,Shahdol,460
10,Bihar,10,220,Sheohar,205
9,Uttar Pradesh,09,181,Shrawasti,181
20,Jharkhand,20,342,Simdega,367
10,Bihar,10,222,Siwan,218
2,Himachal Pradesh,02,25,Solan,031
7,Delhi,07,670,South East,000
7,Delhi,07,84,South West,097
22,Chhattisgarh,22,648,Surajpur,000
22,Chhattisgarh,22,389,Surguja,401
14,Manipur,14,258,Tamenglong,273
3,Punjab,03,609,Tarn Taran,050
12,Arunachal Pradesh,12,238,Tawang,245
33,Tamil Nadu,33,733,Tenkasi,000
33,Tamil Nadu,33,586,Thanjavur,620
33,Tamil Nadu,33,587,The Nilgiris,611
18,Assam,18,302,Tinsukia,309
12,Arunachal Pradesh,12,239,Tirap,254
33,Tamil Nadu,33,732,Tirupathur,000
8,Rajasthan,08,116,Tonk,120
29,Karnataka,29,549,Udupi,569
14,Manipur,14,260,Ukhrul,279
2,Himachal Pradesh,02,26,Una,029
22,Chhattisgarh,22,381,Uttar Bastar Kanker,413
23,Madhya Pradesh,23,437,Vidisha,443
29,Karnataka,29,738,Vijayanagar,000
29,Karnataka,29,530,Vijayapura,557
36,Telangana,00,698,Vikarabad,000
27,Maharashtra,27,499,Washim,502
18,Assam,18,710,West Karbi Anglong,000
13,Nagaland,13,250,Wokha,264
36,Telangana,00,501,Adilabad,532
24,Gujarat,24,438,Ahmedabad,474
15,Mizoram,15,261,Aizawl,283
27,Maharashtra,27,467,Akola,501
9,Uttar Pradesh,09,119,Aligarh,143
23,Madhya Pradesh,23,639,Alirajpur,465
8,Rajasthan,08,87,Alwar,104
9,Uttar Pradesh,09,640,Amethi,000
9,Uttar Pradesh,09,123,Azamgarh,191
29,Karnataka,29,524,Bagalkote,556
5,Uttarakhand,05,46,Bageshwar,063
29,Karnataka,29,528,Ballari,565
28,Andhra Pradesh,28,750,Bapatla,000
8,Rajasthan,08,90,Barmer,115
3,Punjab,03,605,Barnala,054
18,Assam,18,280,Barpeta,303
22,Chhattisgarh,22,374,Bastar,414
23,Madhya Pradesh,23,394,Betul,447
21,Odisha,21,348,Bhadrak,378
24,Gujarat,24,443,Bhavnagar,481
8,Rajasthan,08,92,Bhilwara,122
6,Haryana,06,59,Bhiwani,081
29,Karnataka,29,529,Bidar,558
9,Uttar Pradesh,09,132,Bijnor,134
2,Himachal Pradesh,02,15,Bilaspur,030
20,Jharkhand,20,322,Bokaro,355
18,Assam,18,281,Bongaigaon,319
1,Jammu And Kashmir,01,2,Budgam,002
10,Bihar,10,194,Buxar,232
7,Delhi,07,77,Central,095
2,Himachal Pradesh,02,16,Chamba,023
15,Mizoram,15,262,Champhai,284
4,Chandigarh,04,44,Chandigarh,055
33,Tamil Nadu,33,730,Chengalpattu,000
27,Maharashtra,27,469,Chhatrapati Sambhajinagar,515
23,Madhya Pradesh,23,399,Chhindwara,455
9,Uttar Pradesh,09,136,Chitrakoot,171
14,Manipur,14,254,Churachandpur,274
33,Tamil Nadu,33,570,Cuddalore,617
21,Odisha,21,350,Cuttack,381
29,Karnataka,29,534,Dakshina Kannada,575
38,The Dadra And Nagar Haveli And Daman And Diu,NA,463,Daman,495
10,Bihar,10,195,Darbhanga,215
8,Rajasthan,08,97,Dausa,109
8,Rajasthan,08,767,Deeg,NA
9,Uttar Pradesh,09,137,Deoria,190
23,Madhya Pradesh,23,402,Dewas,437
23,Madhya Pradesh,23,403,Dhar,438
27,Maharashtra,27,488,Dharashiv,525
27,Maharashtra,27,474,Dhule,498
28,Andhra Pradesh,28,747,Dr. B.R. Ambedkar Konaseema,000
12,Arunachal Pradesh,12,231,East Kameng,247
9,Uttar Pradesh,09,139,Etawah,161
6,Haryana,06,60,Faridabad,088
9,Uttar Pradesh,09,143,Firozabad,147
8,Rajasthan,08,100,Ganganagar,099
18,Assam,18,288,Golaghat,313
9,Uttar Pradesh,09,148,Gorakhpur,188
23,Madhya Pradesh,23,406,Guna,458
11,Sikkim,11,228,Gyalshing,242
9,Uttar Pradesh,09,149,Hamirpur,168
32,Kerala,32,556,Idukki,596
14,Manipur,14,255,Imphal East,278
23,Madhya Pradesh,23,410,Indore,439
8,Rajasthan,08,783,Jaipur (Gramin),NA
8,Rajasthan,08,103,Jaisalmer,114
36,Telangana,00,689,Jangoan,000
9,Uttar Pradesh,09,152,Jaunpur,194
6,Haryana,06,64,Jhajjar,083
24,Gujarat,24,448,Junagadh,479
6,Haryana,06,66,Kaithal,073
12,Arunachal Pradesh,12,718,Kamle,000
33,Tamil Nadu,33,575,Kanniyakumari,629
34,Puducherry,34,598,Karaikal,637
18,Assam,18,293,Karimganj,317
9,Uttar Pradesh,09,158,Kaushambi,174
8,Rajasthan,08,781,Kekri,NA
21,Odisha,21,361,Kendujhar,375
22,Chhattisgarh,22,759,Khairagarh-Chhuikhadan-Gandai,000
13,Nagaland,13,245,Kohima,270
18,Assam,18,294,Kokrajhar,300
27,Maharashtra,27,480,Kolhapur,530
22,Chhattisgarh,22,643,Kondagaon,000
2,Himachal Pradesh,02,20,Kullu,026
12,Arunachal Pradesh,12,233,Kurung Kumey,256
37,Ladakh,00,9,Leh Ladakh,003
9,Uttar Pradesh,09,162,Lucknow,157
10,Bihar,10,205,Madhepura,213
3,Punjab,03,737,Malerkotla,000
11,Sikkim,11,226,Mangan,241
3,Punjab,03,37,Mansa,047
18,Assam,18,296,Marigaon,304
9,Uttar Pradesh,09,167,Mathura,145
9,Uttar Pradesh,09,169,Meerut,138
3,Punjab,03,38,Moga,042
22,Chhattisgarh,22,647,Mungeli,000
9,Uttar Pradesh,09,172,Muzaffarnagar,133
10,Bihar,10,208,Muzaffarpur,216
8,Rajasthan,08,110,Nagaur,112
11,Sikkim,11,227,Namchi,243
22,Chhattisgarh,22,637,Narayanpur,415
24,Gujarat,24,452,Narmada,487
21,Odisha,21,367,Nayagarh,385
13,Nagaland,13,764,Niuland,000
19,West Bengal,19,303,North 24 Parganas,337
35,Andaman And Nicobar Islands,35,632,North And Middle Andaman,639
17,Meghalaya,17,656,North Garo Hills,000
6,Haryana,06,604,Nuh,087
11,Sikkim,11,741,Pakyong,000
8,Rajasthan,08,111,Pali,118
28,Andhra Pradesh,28,751,Palnadu,000
6,Haryana,06,619,Palwal,089
23,Madhya Pradesh,23,420,Panna,426
5,Uttarakhand,05,52,Pauri Garhwal,061
8,Rajasthan,08,772,Phalodi,NA
9,Uttar Pradesh,09,173,Pilibhit,151
19,West Bengal,19,306,Purba Bardhaman,335
24,Gujarat,24,457,Rajkot,476
29,Karnataka,29,631,Ramanagara,584
20,Jharkhand,20,607,Ramgarh,361
9,Uttar Pradesh,09,176,Rampur,136
33,Tamil Nadu,33,731,Ranipet,000
23,Madhya Pradesh,23,424,Rewa,430
10,Bihar,10,215,Rohtas,234
3,Punjab,03,42,Rupnagar,051
8,Rajasthan,08,779,Sanchore,NA
27,Maharashtra,27,494,Satara,527
23,Madhya Pradesh,23,428,Seoni,456
9,Uttar Pradesh,09,180,Shahjahanpur,152
23,Madhya Pradesh,23,430,Shajapur,436
23,Madhya Pradesh,23,431,Sheopur,418
23,Madhya Pradesh,23,432,Shivpuri,423
1,Jammu And Kashmir,01,625,Shopian,013
23,Madhya Pradesh,23,433,Sidhi,462
23,Madhya Pradesh,23,638,Singrauli,463
9,Uttar Pradesh,09,183,Sitapur,154
27,Maharashtra,27,496,Solapur,526
11,Sikkim,11,742,Soreng,000
7,Delhi,07,83,South,098
18,Assam,18,707,South Salmara Mancachar,000
17,Meghalaya,17,663,South West Garo Hills,000
28,Andhra Pradesh,28,519,Srikakulam,542
22,Chhattisgarh,22,642,Sukma,000
10,Bihar,10,223,Supaul,208
18,Assam,18,756,Tamulpur,000
5,Uttarakhand,05,55,Tehri Garhwal,059
27,Maharashtra,27,497,Thane,517
32,Kerala,32,565,Thiruvananthapuram,601
33,Tamil Nadu,33,591,Tiruchirappalli,614
